iter	RMSE
123	0.9162338798
124	0.916160553
125	0.9160670841
126	0.916018752
127	0.9159370771
128	0.915797172
129	0.915744227
130	0.9156919488
131	0.9156235953
132	0.9155464408
133	0.9154345933
134	0.9153567889
135	0.9152713378
136	0.9151929243
137	0.9150880994
138	0.9150356586
139	0.9149835883
140	0.9149208027
141	0.914868769
142	0.9147525058
143	0.9145949139
144	0.9145110729
145	0.9144376944
146	0.914389238
147	0.9143367122
148	0.9142252772
149	0.9141731185
150	0.9140722654
151	0.9139762597
152	0.9139435066
153	0.9138999492
154	0.9138654611
155	0.9137773575
156	0.9137190007
157	0.9136752426
158	0.9135667278
159	0.9135296819
160	0.9134489961
161	0.9133789786
162	0.9133029191
163	0.9132815613
164	0.9132373857
165	0.9131994671
166	0.9131583023
167	0.9131000863
168	0.9130003507
169	0.9129156017
170	0.9128376561
171	0.9127603697
172	0.9126617581
173	0.9125473846
174	0.9125015772
175	0.9124194665
176	0.9123594792
177	0.9123116841
178	0.9122255699
179	0.9121851285
180	0.9120933896
181	0.9120244874
182	0.9119729288
183	0.9119165985
184	0.9118349252
185	0.9117554547
186	0.9116953899
187	0.9116511397
188	0.911599452
189	0.9115620053
190	0.9115385864
191	0.9113758164
192	0.9113210649
193	0.9112275221
194	0.9111271279
195	0.911004289
196	0.9109254024
197	0.9108976201
198	0.9108278913
199	0.910806351
200	0.9106212429
201	0.9104744657
202	0.9104066698
203	0.9102066764
204	0.9101373456
205	0.9101021149
206	0.9100097524
207	0.9099352219
208	0.9098839679
209	0.9098521672
210	0.9098249746
211	0.9097780893
212	0.9096956569
213	0.9095978592
214	0.9095155936
215	0.909460971
216	0.9093201705
217	0.9092630601
218	0.9090926462
219	0.9090252053
220	0.9089620711
221	0.9089211577
222	0.9088916177
223	0.9088663313
224	0.9088285411
225	0.9087871292
226	0.908763645
227	0.9087167669
228	0.9086416319
229	0.9085856095
230	0.9085237618
231	0.9084219835
232	0.9083977547
233	0.9083615486
234	0.9083221981
235	0.9082921771
236	0.9082257372
237	0.9081639435
238	0.9080115653
239	0.907971647
240	0.9079533335
241	0.9079011334
242	0.9078529559
243	0.9078458056
244	0.9078004693
245	0.9077533288
246	0.9077240126
247	0.9076853117
248	0.9076194593
249	0.907595082
250	0.9075552326
251	0.9075041879
252	0.9074495567
253	0.9074301314
254	0.9073994974
255	0.9073468871
256	0.9072948536
257	0.9072482259
258	0.9071756772
259	0.9071318163
260	0.9070835883
261	0.9069927823
262	0.9069458783
263	0.9069380086
264	0.9068389682
265	0.9067873764
266	0.9067568668
267	0.9067395972
268	0.9066730262
269	0.9065655141
270	0.9065220662
271	0.906489771
272	0.9064420834
273	0.90640035
274	0.9063702004
275	0.9063191064
276	0.9062818255
277	0.9062546124
278	0.9062083839
279	0.9061657494
280	0.9061460825
281	0.9060803106
282	0.9060437672
283	0.9060023997
284	0.9059179465
285	0.905864477
286	0.9058203307
287	0.9057645754
288	0.9057397381
289	0.9056850095
290	0.9056750946
291	0.9056112408
292	0.9055202382
293	0.905489543
294	0.9054548755
295	0.9053748112
296	0.9053454863
297	0.9053216356
298	0.9052843382
299	0.9052429787
300	0.905229996
301	0.9051763231
302	0.9051297616
303	0.9050463622
304	0.9050244603
305	0.9049528758
306	0.9048617964
307	0.9048440066
308	0.9048247284
309	0.9047786143
310	0.9047308243
311	0.9046977777
312	0.9046501917
313	0.9045874579
314	0.9045433633
315	0.904512957
316	0.9044846927
317	0.9044234085
318	0.9043058003
319	0.9042286292
320	0.9041793983
321	0.9041391277
322	0.9041210036
323	0.9040299093
324	0.9039907773
325	0.9039308908
326	0.9039244609
327	0.9039105388
328	0.9038493228
329	0.9038073079
330	0.9037871057
331	0.9037598305
332	0.9037232828
333	0.9036932668
334	0.9036802047
335	0.9036285539
336	0.9035528453
337	0.9034965261
338	0.9034484712
339	0.9034248806
340	0.9033870634
341	0.9033390293
342	0.9033012725
343	0.9032469413
344	0.9032277915
345	0.9031840118
346	0.903029104
347	0.9030023658
348	0.902946506
349	0.9029289064
350	0.9028736158
351	0.9028341026
352	0.9028177246
353	0.9028052742
354	0.9027674682
355	0.9027243274
356	0.902702868
357	0.9026774808
358	0.9026348921
359	0.9025781519
360	0.9025277763
361	0.9024888987
362	0.902472377
363	0.9024470097
364	0.9024177226
365	0.9023837833
366	0.9023761828
367	0.9022923823
368	0.9022270128
369	0.9021859961
370	0.9021380816
371	0.9021260858
372	0.9020939969
373	0.9020463691
374	0.9020191511
375	0.9019624538
376	0.9019280708
377	0.9017910508
378	0.9017702804
379	0.9017180127
380	0.9017021354
381	0.9016812662
382	0.9015859838
383	0.9015441091
384	0.9014996936
385	0.901459645
386	0.9014298676
387	0.9013917573
388	0.9013401443
389	0.9013158915
390	0.9012900445
391	0.9012529997
392	0.9011565777
393	0.9011164505
394	0.9010694983
395	0.9010527189
396	0.9009883036
397	0.9009659542
398	0.9009147259
399	0.9008835038
400	0.9008299161
401	0.9007594299
402	0.9007254791
403	0.9006971949
404	0.9006530352
405	0.9006192818
406	0.9005817638
407	0.9005694662
408	0.9005428781
409	0.9004812298
410	0.9004597508
411	0.9003642487
412	0.9003565293
413	0.9003171457
414	0.9002450341
415	0.9002163483
416	0.9002065185
417	0.9001348214
418	0.9001234177
419	0.9000908152
420	0.8999312273
421	0.8998971862
422	0.8998554851
423	0.899817047
424	0.8997878218
425	0.8997734466
426	0.89974443
427	0.8997310425
428	0.8996654892
429	0.8996375291
430	0.8996143226
431	0.8996061666
432	0.8995690586
433	0.8995536782
434	0.8994649056
435	0.899450048
436	0.899420089
437	0.8994092341
438	0.899365292
439	0.8993130833
440	0.8992920595
441	0.8992437045
442	0.899174277
443	0.8991558202
444	0.8991282232
445	0.8990869263
446	0.89904899
447	0.89903549
448	0.8989691217
449	0.8988864971
450	0.8988748446
451	0.8988085367
452	0.898758369
453	0.8987499511
454	0.898705643
455	0.8986950445
456	0.8986776128
457	0.8985260286
458	0.8984141895
459	0.8983087128
460	0.8982675579
461	0.8982366244
462	0.8981992023
463	0.8981684814
464	0.898135293
465	0.8980559253
466	0.8980203808
467	0.8979680381
468	0.897943813
469	0.8979102044
470	0.8978599569
471	0.8978034295
472	0.8977550905
473	0.8976960394
474	0.897676479
475	0.8975212039
476	0.8974838095
477	0.8974612998
478	0.8974407991
479	0.897411295
480	0.8973794199
481	0.8972739601
482	0.8972268753
483	0.8972087611
484	0.8971736547
485	0.897145237
486	0.8971184643
487	0.8970991045
488	0.8970334247
489	0.8970112121
490	0.8969552652
491	0.8968473568
492	0.8968038149
493	0.8967756641
494	0.8967542965
495	0.8967086227
496	0.8966362241
497	0.8966333807
498	0.8966106472
499	0.8965974423
500	0.8965725673
501	0.8965595577
502	0.896531039
503	0.8964941701
504	0.8964665062
505	0.8964384728
506	0.8964312958
507	0.8964168344
508	0.8963862427
509	0.8963536828
510	0.8963314025
511	0.8962864165
512	0.8962234024
513	0.896177119
514	0.8960968668
515	0.8960908849
516	0.896059638
517	0.8960255163
518	0.8959939487
519	0.8959537032
520	0.8959426299
521	0.8959331765
522	0.8959036734
523	0.8958899532
524	0.8958756845
525	0.8958049984
526	0.8957780508
527	0.8957576066
528	0.8957116095
529	0.8956852235
530	0.8956417069
531	0.8955953772
532	0.895488406
533	0.8954308814
534	0.8954151412
535	0.8953891786
536	0.8953407503
537	0.8952707908
538	0.8952562993
539	0.8952427937
540	0.8952304649
541	0.8952023618
542	0.8951905042
543	0.8950963755
544	0.8949858861
545	0.8949613441
546	0.8949428414
547	0.8949063169
548	0.8947829544
549	0.8947692049
550	0.8946937138
551	0.8946750637
552	0.8946337485
553	0.8946035049
554	0.8945479541
555	0.8945349659
556	0.8945226736
557	0.8945034576
558	0.8944703328
559	0.894461179
560	0.8944353399
561	0.8943823099
562	0.894346633
563	0.894326553
564	0.8943152026
565	0.8942797456
566	0.8942603955
567	0.8942260428
568	0.8942003956
569	0.8941816753
570	0.8941695624
571	0.8941470971
572	0.8941047864
573	0.8940912306
574	0.8940739555
575	0.8940385053
576	0.8939231174
577	0.8938724619
578	0.8938638499
579	0.8938289129
580	0.8937773684
581	0.8937401152
582	0.893686622
583	0.8936443853
584	0.8936355274
585	0.893595439
586	0.8935620681
587	0.8935271554
588	0.8934695229
589	0.8934225469
590	0.8933273087
591	0.8933088061
592	0.8932701565
593	0.8932163161
594	0.8932074721
595	0.893164157
596	0.8931148063
597	0.893104202
598	0.8930577827
599	0.893025167
600	0.8929879093
601	0.8929749357
602	0.8929634768
603	0.892942734
604	0.8928861957
605	0.8927640684
606	0.8927443494
607	0.892649431
608	0.8926128429
609	0.8925805998
610	0.8925335274
611	0.8924432511
612	0.8924256147
613	0.8923954849
614	0.8923135313
615	0.8922620854
616	0.8922215233
617	0.892196745
618	0.892180626
619	0.892151705
620	0.892103396
621	0.8920765654
622	0.8920702748
623	0.8920674811
624	0.8920019598
625	0.8919631098
626	0.891861721
627	0.8918273058
628	0.8918174462
629	0.8917950823
630	0.8917865229
631	0.8917429825
632	0.8917069407
633	0.8916764612
634	0.8916426204
635	0.8916268255
636	0.8915561666
637	0.8915325389
638	0.8915030865
639	0.891435298
640	0.8914330617
641	0.8914211116
642	0.891381134
643	0.8913716513
644	0.8912698569
645	0.8912429759
646	0.8911833811
647	0.8911247871
648	0.8910717978
649	0.891001092
650	0.8909091094
651	0.8908875198
652	0.8908748275
653	0.8907679736
654	0.8907573589
655	0.8907397718
656	0.8906976858
657	0.8906652851
658	0.8906520635
659	0.8906308056
660	0.8905933795
661	0.8905560298
662	0.8905433111
663	0.8904418192
664	0.890394946
665	0.8903771156
666	0.8903400516
667	0.890287497
668	0.8902773149
669	0.8901740671
670	0.8900739685
671	0.8900587294
672	0.8900301071
673	0.8899522244
674	0.8899367436
675	0.8899320766
676	0.8898983584
